OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,A_MEAN
51-8091,Chemical Plant and System Operators,detailed,51390,63504.22
19-4031,Chemical Technicians,detailed,135710,52663.88
25-1052,"Chemistry Teachers, Postsecondary",detailed,40310,88627.29
19-2031,Chemists,detailed,191480,80935.33
11-1011,Chief Executives,detailed,434720,210936.98
21-1021,"Child, Family, and School Social Workers",detailed,808680,50338.67
39-9011,Childcare Workers,detailed,1181910,27679.31
29-1011,Chiropractors,detailed,138840,82071.57
27-2032,Choreographers,detailed,4090,47816.1
17-3022,Civil Engineering Technologists and Technicians,detailed,147380,58143.12
17-2051,Civil Engineers,detailed,775990,89697.63
13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,916300,67854.45
53-7061,Cleaners of Vehicles and Equipment,detailed,1104860,32093.92
51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",detailed,24830,35819.43
21-2011,Clergy,detailed,135930,55782.3
19-3031,Clinical and Counseling Psychologists,detailed,170790,92167.42
29-2012,Clinical Laboratory Technologists and Technicians,detailed,897180,52558.49
27-2022,Coaches and Scouts,detailed,437850,49359.4
51-9121,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",detailed,398390,42491.9
51-2021,"Coil Winders, Tapers, and Finishers",detailed,20750,40045.08
49-9091,"Coin, Vending, and Amusement Machine Servicers and Repairers",detailed,58180,40559.84
27-1021,Commercial and Industrial Designers,detailed,46720,76444.37
49-9092,Commercial Divers,detailed,2730,81135.59
53-2012,Commercial Pilots,detailed,91480,104012.1
25-1122,"Communications Teachers, Postsecondary",detailed,53750,76231.38
Nov-11,Compensation and Benefits Managers,detailed,17250,140463.88
13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,173940,73094.03
13-1041,Compliance Officers,detailed,726640,72631.49
15-1111,Computer and Information Research Scientists,detailed,50360,126634.32
Nov-21,Computer and Information Systems Managers,detailed,1064220,144473.74
17-2061,Computer Hardware Engineers,detailed,147730,117157.36
51-4011,Computer Numerically Controlled Tool Operators,detailed,459270,45042.79
51-4012,Computer Numerically Controlled Tool Programmers,detailed,65450,61607.44
15-1799,"Computer Occupations, All Other",detailed,753310,83336.01
15-1131,Computer Programmers,detailed,288350,90608.34
25-1021,"Computer Science Teachers, Postsecondary",detailed,74370,87749.86
15-1121,Computer Systems Analysts,detailed,1111850,94774.08
15-1150,Computer User Support Specialists,detailed,1500860,56360.35
