OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,A_MEAN
45-4022,Logging Equipment Operators,detailed,67650,41474.41
13-1081,Logisticians,detailed,368780,75374.51
53-7063,Machine Feeders and Offbearers,detailed,118510,34754.49
51-4041,Machinists,detailed,1006860,49251.64
37-2012,Maids and Housekeeping Cleaners,detailed,2086050,29440.27
43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",detailed,134140,34340.21
49-9071,"Maintenance and Repair Workers, General",detailed,3469710,45100.99
49-9043,"Maintenance Workers, Machinery",detailed,114110,52211.57
39-5091,"Makeup Artists, Theatrical and Performance",detailed,290,86546.67
13-1111,Management Analysts,detailed,1655500,91998.42
Nov-99,"Managers, All Other",detailed,1120930,117702.24
39-5092,Manicurists and Pedicurists,detailed,357910,31717.03
49-9095,Manufactured Building and Mobile Home Installers,detailed,5370,36572
17-2121,Marine Engineers and Naval Architects,detailed,3650,100612.08
13-1161,Market Research Analysts and Marketing Specialists,detailed,1693720,66323.79
Nov-21,Marketing Managers,detailed,589160,137660.85
21-1013,Marriage and Family Therapists,detailed,163690,56497.58
31-9011,Massage Therapists,detailed,241380,48862.76
17-2131,Materials Engineers,detailed,34810,97142.66
19-2032,Materials Scientists,detailed,7200,106196.32
25-1022,"Mathematical Science Teachers, Postsecondary",detailed,88110,79314.31
15-2021,Mathematicians,detailed,2070,108880.63
51-3022,"Meat, Poultry, and Fish Cutters and Trimmers",detailed,379460,31915.76
49-9011,Mechanical Door Repairers,detailed,56600,44526.72
17-3013,Mechanical Drafters,detailed,119780,61764.15
17-3027,Mechanical Engineering Technologists and Technicians,detailed,89170,61068.25
17-2141,Mechanical Engineers,detailed,724810,91344.38
Nov-11,Medical and Health Services Managers,detailed,1250080,117719.66
51-9082,Medical Appliance Technicians,detailed,27570,47247.62
31-9092,Medical Assistants,detailed,2190750,36904.13
31-9093,Medical Equipment Preparers,detailed,165840,39796.38
49-9062,Medical Equipment Repairers,detailed,133320,53678.14
29-2072,Medical Records Specialists,detailed,450500,47977.03
19-1042,"Medical Scientists, Except Epidemiologists",detailed,248070,100774.48
43-6013,Medical Secretaries and Administrative Assistants,detailed,1949320,37990
31-9094,Medical Transcriptionists,detailed,134800,37817.27
13-1121,"Meeting, Convention, and Event Planners",detailed,200190,55284.29
21-1023,Mental Health and Substance Abuse Social Workers,detailed,334570,52888.49
27-1026,Merchandise Displayers and Window Trimmers,detailed,387270,36079.94
51-4051,Metal-Refining Furnace Operators and Tenders,detailed,36510,45606.86
43-5041,"Meter Readers, Utilities",detailed,40380,48795.77
19-1022,Microbiologists,detailed,38010,77230.42
25-2022,"Middle School Teachers, Except Special and Career/Technical Education",detailed,1174110,61034.51
51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,30060,45029.71
49-9044,Millwrights,detailed,83950,58761.75
17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",detailed,10510,100731.05
51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",detailed,279690,40933.35
49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",detailed,374140,56341.99
51-4061,"Model Makers, Metal and Plastic",detailed,4720,58134.04
51-7031,"Model Makers, Wood",detailed,160,65430
41-9012,Models,detailed,450,46108.57
51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",detailed,67260,38885.64
51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,462800,37932.02
39-4031,"Morticians, Undertakers, and Funeral Arrangers",detailed,73360,54967.76
39-3021,Motion Picture Projectionists,detailed,2460,33649.67
49-3051,Motorboat Mechanics and Service Technicians,detailed,55500,45996.68
53-5022,Motorboat Operators,detailed,770,46485.81
49-3052,Motorcycle Mechanics,detailed,41210,40691.94
51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detailed,352410,39630.71
25-4013,Museum Technicians and Conservators,detailed,17630,47754.86
27-2041,Music Directors and Composers,detailed,21220,62487.54
49-9063,Musical Instrument Repairers and Tuners,detailed,11340,38540.58
27-2042,Musicians and Singers,detailed,53900,0
Nov-21,Natural Sciences Managers,detailed,169440,137782.88
15-1142,Network and Computer Systems Administrators,detailed,683620,87186.62
29-1217,Neurologists,detailed,13350,257133.7
43-4141,New Accounts Clerks,detailed,110950,40356.34
27-3021,"News Analysts, Reporters, and Journalists",detailed,134320,54766.89
17-2161,Nuclear Engineers,detailed,11000,121547.76
29-2033,Nuclear Medicine Technologists,detailed,46370,82386.02
51-8011,Nuclear Power Reactor Operators,detailed,3620,113684.74
19-4051,Nuclear Technicians,detailed,3080,89748.93
25-1072,"Nursing Instructors and Teachers, Postsecondary",detailed,135960,80822.71
29-1218,Obstetricians and Gynecologists,detailed,49990,283328.48
29-9011,Occupational Health and Safety Specialists,detailed,199150,79589.85
29-9012,Occupational Health and Safety Technicians,detailed,24060,58838.6
29-1122,Occupational Therapists,detailed,380620,86642.95
31-2012,Occupational Therapy Aides,detailed,5310,39380.24
31-2011,Occupational Therapy Assistants,detailed,133330,62646.1
43-9061,"Office Clerks, General",detailed,6976890,37940.06
43-9071,"Office Machine Operators, Except Computer",detailed,46300,36808.99
47-2073,Operating Engineers and Other Construction Equipment Operators,detailed,1097910,54251.18
15-2031,Operations Research Analysts,detailed,195100,86324.26
51-9083,Ophthalmic Laboratory Technicians,detailed,37770,36935.7
29-2081,"Opticians, Dispensing",detailed,191170,41361.18
29-1041,Optometrists,detailed,124750,125150.13
29-1022,Oral and Maxillofacial Surgeons,detailed,7600,282892.26
43-4151,Order Clerks,detailed,290480,39310.36
29-1023,Orthodontists,detailed,7710,273137.73
29-1242,"Orthopedic Surgeons, Except Pediatric",detailed,37360,287684.51
29-2091,Orthotists and Prosthetists,detailed,19460,81609.02
49-3053,Outdoor Power Equipment and Other Small Engine Mechanics,detailed,87060,40887.12
51-9111,Packaging and Filling Machine Operators and Tenders,detailed,1022300,35361.14
53-7064,"Packers and Packagers, Hand",detailed,1633010,30879.5
47-2141,"Painters, Construction and Maintenance",detailed,724660,46466.64
51-9123,"Painting, Coating, and Decorating Workers",detailed,18440,38222.41
51-9196,"Paper Goods Machine Setters, Operators, and Tenders",detailed,241080,39876.69
47-2142,Paperhangers,detailed,2610,51950
23-2011,Paralegals and Legal Assistants,detailed,661080,64609.85
29-2043,Paramedics,detailed,286580,48016.72
53-6021,Parking Attendants,detailed,217410,28235.81
33-3041,Parking Enforcement Workers,detailed,12350,43166.76
41-2022,Parts Salespersons,detailed,793040,40771.66
51-4062,"Patternmakers, Metal and Plastic",detailed,3120,49087.57
51-7032,"Patternmakers, Wood",detailed,50,49580
47-2071,"Paving, Surfacing, and Tamping Equipment Operators",detailed,111380,49083.14
43-3051,Payroll and Timekeeping Clerks,detailed,298220,49308.8
29-1243,Pediatric Surgeons,detailed,590,282493.33
29-1221,"Pediatricians, General",detailed,87140,206594.98
39-9021,"Personal Care and Service Workers, All Other",detailed,216630,30518.41
13-2052,Personal Financial Advisors,detailed,559100,96093.62
37-2021,Pest Control Workers,detailed,317870,41313.84
37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",detailed,68680,39760.71
17-2171,Petroleum Engineers,detailed,36960,136048.58
51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",detailed,62550,76072.87
29-1051,Pharmacists,detailed,862030,125934.91
31-9095,Pharmacy Aides,detailed,122050,31670.83
29-2052,Pharmacy Technicians,detailed,1200660,39569.83
25-1126,"Philosophy and Religion Teachers, Postsecondary",detailed,40700,82221.12
27-4021,Photographers,detailed,85310,48126.47
51-9151,Photographic Process Workers and Processing Machine Operators,detailed,6970,39203.17
19-2099,"Physical Scientists, All Other",detailed,31300,110671.36
31-2022,Physical Therapist Aides,detailed,143220,31439.34
31-2021,Physical Therapist Assistants,detailed,311230,59388.19
29-1123,Physical Therapists,detailed,728750,91218.34
29-1071,Physician Assistants,detailed,382340,119645.61
29-1229,"Physicians, All Other",detailed,678840,234632.26
29-1222,"Physicians, Pathologists",detailed,17060,256477.18
19-2012,Physicists,detailed,29770,147752.07
25-1054,"Physics Teachers, Postsecondary",detailed,24050,92155.58
47-2072,Pile Driver Operators,detailed,6740,74022.29
47-2151,Pipelayers,detailed,76660,48227.85
51-8099,"Plant and System Operators, All Other",detailed,21710,57754.25
47-2161,Plasterers and Stucco Masons,detailed,87150,51397.16
51-4193,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,82860,39289.8
47-2152,"Plumbers, Pipefitters, and Steamfitters",detailed,1462920,59996.44
29-1081,Podiatrists,detailed,25610,150951.82
33-3051,Police and Sheriff's Patrol Officers,detailed,1332510,61156.37
25-1065,"Political Science Teachers, Postsecondary",detailed,26880,90563.23
19-3094,Political Scientists,detailed,5020,97928.48
43-5051,Postal Service Clerks,detailed,160320,52654.26
43-5052,Postal Service Mail Carriers,detailed,673700,53905
43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",detailed,226030,50825.96
Nov-31,Postmasters and Mail Superintendents,detailed,25660,80621.18
25-1199,"Postsecondary Teachers, All Other",detailed,394030,77798
51-4052,"Pourers and Casters, Metal",detailed,14970,44147.37
51-8012,Power Distributors and Dispatchers,detailed,14260,96440.75
51-8013,Power Plant Operators,detailed,64370,77219.6
51-5111,Prepress Technicians and Workers,detailed,47910,42038.81
25-2011,"Preschool Teachers, Except Special Education",detailed,1064370,37932.87
51-6021,"Pressers, Textile, Garment, and Related Materials",detailed,76550,27086.12
51-5113,Print Binding and Finishing Workers,detailed,73910,36561.66
51-5112,Printing Press Operators,detailed,305740,39046.96
33-9021,Private Detectives and Investigators,detailed,49820,61182.97
21-1092,Probation Officers and Correctional Treatment Specialists,detailed,174980,54284.92
43-3061,Procurement Clerks,detailed,107410,43761.67
27-2012,Producers and Directors,detailed,369960,73343.41
51-9399,"Production Workers, All Other",detailed,571180,37754.96
43-5061,"Production, Planning, and Expediting Clerks",detailed,918030,51222.69
43-9081,Proofreaders and Copy Markers,detailed,5020,45101.11
13-2021,Property Appraisers and Assessors,detailed,107330,71655.41
Nov-41,"Property, Real Estate, and Community Association Managers",detailed,447100,82456.53
29-1024,Prosthodontists,detailed,210,181600
31-1013,Psychiatric Aides,detailed,86890,34166.58
29-2053,Psychiatric Technicians,detailed,263210,36054.76
19-3039,"Psychologists, All Other",detailed,22880,95500.79
25-1066,"Psychology Teachers, Postsecondary",detailed,72700,81870.92
Nov-32,Public Relations Managers,detailed,103840,128786.7
27-3031,Public Relations Specialists,detailed,517500,67138
53-7072,"Pump Operators, Except Wellhead Pumpers",detailed,13770,53836.09
Nov-61,Purchasing Managers,detailed,120160,127141.53
29-1124,Radiation Therapists,detailed,40040,91292.39
29-2037,Radiologic Technologists and Technicians,detailed,628120,63447.15
49-3043,Rail Car Repairers,detailed,41530,54094.08
53-4013,"Rail Yard Engineers, Dinkey Operators, and Hostlers",detailed,5700,58224.24
53-4021,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",detailed,17670,56288.96
53-4031,Railroad Conductors and Yardmasters,detailed,70680,63469.71
47-4061,Rail-Track Laying and Maintenance Equipment Operators,detailed,33000,56044.29
41-9021,Real Estate Brokers,detailed,85780,77791.64
41-9022,Real Estate Sales Agents,detailed,336990,69714.22
43-4171,Receptionists and Information Clerks,detailed,2828340,32339.8
25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",detailed,26410,71879.42
39-9032,Recreation Workers,detailed,657680,31965.64
29-1125,Recreational Therapists,detailed,39850,52053.95
49-3092,Recreational Vehicle Service Technicians,detailed,40290,43884.2
49-9045,"Refractory Materials Repairers, Except Brickmasons",detailed,170,55488.33
53-7081,Refuse and Recyclable Material Collectors,detailed,328800,39241.75
29-1111,Registered Nurses,detailed,8998130,74448.65
21-1015,Rehabilitation Counselors,detailed,240330,44583.93
47-2171,Reinforcing Iron and Rebar Workers,detailed,34990,56165.36
43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,detailed,269230,39870.67
39-9041,Residential Advisors,detailed,261060,34337.7
29-1126,Respiratory Therapists,detailed,373580,63366.52
41-2031,Retail Salespersons,detailed,10172880,33586.33
49-9096,Riggers,detailed,28380,52314.43
47-5051,"Rock Splitters, Quarry",detailed,7530,43565.43
51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,74120,44076.43
47-5061,"Roof Bolters, Mining",detailed,3860,67246.88
47-2181,Roofers,detailed,486470,46566.1
47-5012,"Rotary Drill Operators, Oil and Gas",detailed,18490,59190
47-5071,"Roustabouts, Oil and Gas",detailed,62370,45897.43
53-5011,Sailors and Marine Oilers,detailed,54810,50895.71
41-9031,Sales Engineers,detailed,113030,110914.27
Nov-22,Sales Managers,detailed,1124230,130870.15
41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",detailed,3388840,70957.69
41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",detailed,671900,93915.2
51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",detailed,120830,35850.64
25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",detailed,1967960,62383.06
43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",detailed,4661000,39569.15
41-3031,"Securities, Commodities, and Financial Services Sales Agents",detailed,1089200,84023.49
49-2098,Security and Fire Alarm Systems Installers,detailed,276180,51328.35
33-9032,Security Guards,detailed,3624480,37749.98
25-3021,Self-Enrichment Teachers,detailed,456970,44443.23
51-9141,Semiconductor Processing Technicians,detailed,62140,42321.2
51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",detailed,120510,45039.92
47-4071,Septic Tank Servicers and Sewer Pipe Cleaners,detailed,66130,44956.01
47-5013,"Service Unit Operators, Oil and Gas",detailed,60640,57476.56
27-1027,Set and Exhibit Designers,detailed,7470,55648.94
51-6051,"Sewers, Hand",detailed,3070,31900.51
51-6031,Sewing Machine Operators,detailed,301620,31103.61
39-5093,Shampooers,detailed,23220,26105.26
47-2211,Sheet Metal Workers,detailed,384790,54606.82
53-5031,Ship Engineers,detailed,12680,93817.35
43-5071,"Shipping, Receiving, and Inventory Clerks",detailed,2110080,38365.33
51-6041,Shoe and Leather Workers and Repairers,detailed,9230,34590.94
51-6042,Shoe Machine Operators and Tenders,detailed,2630,38627.86
49-9097,Signal and Track Switch Repairers,detailed,8410,72430
39-5094,Skincare Specialists,detailed,124820,42297.04
51-3023,Slaughterers and Meat Packers,detailed,246840,31058.16
Nov-51,Social and Community Service Managers,detailed,427680,74559.6
21-1093,Social and Human Service Assistants,detailed,1140670,38709.6
19-4061,Social Science Research Assistants,detailed,52740,54618.02
25-1069,"Social Sciences Teachers, Postsecondary, All Other",detailed,32590,75960.37
19-3099,"Social Scientists and Related Workers, All Other",detailed,58180,85004.21
25-1113,"Social Work Teachers, Postsecondary",detailed,23070,73517.24
19-3041,Sociologists,detailed,3500,99584.44
25-1067,"Sociology Teachers, Postsecondary",detailed,24740,80278.07
15-1132,Software Developers,detailed,3087850,106601.92
19-1013,Soil and Plant Scientists,detailed,23050,76157.41
27-4014,Sound Engineering Technicians,detailed,18210,61154.89
25-2053,"Special Education Teachers, Middle School",detailed,157830,62456.48
25-2054,"Special Education Teachers, Secondary School",detailed,286220,63076.81
27-1014,Special Effects Artists and Animators,detailed,29270,81103.55
29-1127,Speech-Language Pathologists,detailed,398300,88222.65
51-8021,Stationary Engineers and Boiler Operators,detailed,52040,66850.98
43-9111,Statistical Assistants,detailed,7010,57863.02
15-2041,Statisticians,detailed,49620,92856.29
43-5081,Stockers and Order Fillers,detailed,6157510,35986.56
47-2022,Stonemasons,detailed,21340,49936
47-2221,Structural Iron and Steel Workers,detailed,181930,57028.17
51-2041,Structural Metal Fabricators and Fitters,detailed,145500,44917.51
21-1011,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",detailed,986370,53429.38
53-4041,Subway and Streetcar Operators,detailed,5500,60313.13
29-1249,"Surgeons, All Other",detailed,74130,293054.79
29-2055,Surgical Technologists,detailed,303570,51964.29
19-3022,Survey Researchers,detailed,9040,71002.43
17-3031,Surveying and Mapping Technicians,detailed,115950,52569.24
17-1022,Surveyors,detailed,103700,68186.92
43-2011,"Switchboard Operators, Including Answering Service",detailed,107560,33183.21
51-6052,"Tailors, Dressmakers, and Custom Sewers",detailed,25280,34748.19
53-7121,"Tank Car, Truck, and Ship Loaders",detailed,14180,48805.6
47-2082,Tapers,detailed,50470,63808.63
13-2081,"Tax Examiners and Collectors, and Revenue Agents",detailed,103670,65038.01
13-2082,Tax Preparers,detailed,162870,49500.51
53-3041,Taxi Drivers,detailed,30540,28792.74
25-3999,"Teachers and Instructors, All Other",detailed,317420,56879.14
25-9045,"Teaching Assistants, Except Postsecondary",detailed,2496010,29971.74
25-9044,"Teaching Assistants, Postsecondary",detailed,244400,39430.27
27-3042,Technical Writers,detailed,81150,79807.35
49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",detailed,360330,54887.46
49-9052,Telecommunications Line Installers and Repairers,detailed,233580,55721.27
41-9041,Telemarketers,detailed,271690,35049.18
43-2021,Telephone Operators,detailed,3750,37456.23
43-3071,Tellers,detailed,1082670,34186.63
47-2053,Terrazzo Workers and Finishers,detailed,4810,57511.18
51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders,detailed,14230,32347.92
51-6062,"Textile Cutting Machine Setters, Operators, and Tenders",detailed,24440,31189.3
51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",detailed,39750,34230.69
51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",detailed,59110,32355.64
47-2044,Tile and Stone Setters,detailed,104970,48573.11
51-2093,Timing Device Assemblers and Adjusters,detailed,80,47980
51-9197,Tire Builders,detailed,35140,37851.91
49-3093,Tire Repairers and Changers,detailed,249060,32562.11
23-2093,"Title Examiners, Abstractors, and Searchers",detailed,122260,49639.37
51-4111,Tool and Die Makers,detailed,169840,54591.21
51-4194,"Tool Grinders, Filers, and Sharpeners",detailed,8490,44361.88
39-7011,Tour and Travel Guides,detailed,56960,33017.56
53-6041,Traffic Technicians,detailed,11720,52098.38
Nov-31,Training and Development Managers,detailed,54860,126820.42
13-1151,Training and Development Specialists,detailed,760290,65557.72
33-3052,Transit and Railroad Police,detailed,4640,64956.47
53-6051,Transportation Inspectors,detailed,42410,78913.51
Nov-71,"Transportation, Storage, and Distribution Managers",detailed,302480,100997.13
41-3041,Travel Agents,detailed,98920,43995.59
37-3013,Tree Trimmers and Pruners,detailed,142320,46319.59
27-2023,"Umpires, Referees, and Other Sports Officials",detailed,11760,39369.2
51-6093,Upholsterers,detailed,71870,38659.2
19-3051,Urban and Regional Planners,detailed,74830,80369.32
39-3031,"Ushers, Lobby Attendants, and Ticket Takers",detailed,126960,26574.95
29-1131,Veterinarians,detailed,221030,105748.83
31-9096,Veterinary Assistants and Laboratory Animal Caretakers,detailed,285270,32202.53
29-2056,Veterinary Technologists and Technicians,detailed,337110,39186.7
35-3031,Waiters and Waitresses,detailed,6827790,28263.94
49-9064,Watch and Clock Repairers,detailed,910,45821.62
51-8031,Water and Wastewater Treatment Plant and System Operators,detailed,229820,51154.16
43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",detailed,107640,38906.51
51-4121,"Welders, Cutters, Solderers, and Brazers",detailed,1128780,49608.76
51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",detailed,63220,42419.91
53-7073,Wellhead Pumpers,detailed,29630,61108.63
51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",detailed,185400,35674.69
43-9022,Word Processors and Typists,detailed,78730,41184.29
27-3043,Writers and Authors,detailed,72990,71077.57
19-1023,Zoologists and Wildlife Biologists,detailed,25830,69918.12
